
超级云TV,#genre#
四川卫视 ,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/sichuanstv/index.m3u8?IAS
四川卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225733/index.m3u8
东南卫视 ,http://39.135.138.59:18890/PLTV/88888910/224/3221225657/index.m3u8
东南卫视 ,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/dongnanstv/index.m3u8?IAS
东南卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8
河南卫视 ,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/henanstv/index.m3u8?IAS
江西卫视 ,http://39.134.39.39/PLTV/88888888/224/3221226305/index.m3u8
江西卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225746/index.m3u8
吉林卫视 ,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/jilinstv/index.m3u8?IAS
吉林卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225680/index.m3u8
贵州卫视 ,http://39.134.39.39/PLTV/88888888/224/3221226276/index.m3u8
贵州卫视 ,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/guizhoustv/index.m3u8?IAS
贵州卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225728/index.m3u8
海南卫视,http://39.134.39.39/PLTV/88888888/224/3221226301/index.m3u8
海南卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=hainws
河北卫视 ,http://101.71.255.229:6610/zjhs/2/10017/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
河北卫视 ,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/hebeistv/index.m3u8?IAS
河北卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225732/index.m3u8
兵团卫视,http://112.17.40.145/PLTV/88888888/224/3221226186/index.m3u8
兵团卫视,http://39.135.33.12/PLTV/77777777/224/3221226854/index.m3u8
兵团卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=btws
上海纪实,http://39.134.115.163:8080/PLTV/88888910/224/3221225654/index.m3u8
北京纪实,http://39.134.115.163:8080/PLTV/88888910/224/3221225675/index.m3u8
山西卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225730/index.m3u8
广西卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225731/index.m3u8
云南卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225664/index.m3u8
陕西卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225729/index.m3u8
青海卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225727/index.m3u8
宁夏卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225726/index.m3u8
甘肃卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225724/index.m3u8
海南卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225722/index.m3u8
内蒙古卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225667/index.m3u8
新疆卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225725/index.m3u8
西藏卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225723/index.m3u8
中国教育-1,http://39.134.115.163:8080/PLTV/88888910/224/3221225661/index.m3u8
金鹰卡通,http://39.134.115.163:8080/PLTV/88888910/224/3221225721/index.m3u8
卡酷少儿,http://39.134.115.163:8080/PLTV/88888910/224/3221225677/index.m3u8
优漫卡通,http://39.134.115.163:8080/PLTV/88888910/224/3221225665/index.m3u8
广东珠江,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=79&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
南方卫视,http://39.135.33.12/PLTV/77777777/224/3221226596/index.m3u8
南方卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=nfws
山西卫视,http://39.135.33.12/PLTV/77777777/224/3221226655/index.m3u8
山西卫视,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=sxiws
厦门卫视,http://39.135.33.12/PLTV/77777777/224/3221226856/index.m3u8
珠江卫视,http://39.135.33.12/PLTV/77777777/224/3221226608/index.m3u8
